DAP,RTP
38.95,26.66
36.52,24.09
36.52,24.1
36.52,22.34
36.52,21.56
36.52,21.49
36.52,21.4
36.52,21.36
36.52,21.51
36.52,21.53
36.52,22.37
36.52,21.63
36.52,21.36
32.93,21.32
32.93,21.34
32.93,21.38
32.93,21.45
32.93,21.24
32.93,21.13
32.93,21.13
32.93,19.71
32.93,19.66
32.93,19.64
32.93,18.97
32.93,23.11
29.28,24.03
29.28,22.73
29.28,24.02
29.28,24.04
29.28,24.05
29.28,22.13
29.28,21.64
29.28,22.15
29.28,24.63
29.28,24.15
29.28,23.97
29.28,23.46
27.84,23.52
27.84,24.67
27.84,24.67
27.84,24.61
27.84,21.74
27.84,22.11
27.84,21.64
27.84,21.75
27.84,21.57
27.84,21.55
27.84,24.63
27.84,22.14
24.81,22.93
24.81,22.12
24.81,24.87
24.81,26.09
24.81,24.22
24.81,24.87
24.81,23.27
24.81,23.91
24.81,25.7
24.81,24.87
24.81,26.18
24.81,25.54
23.49,22.12
23.49,22.14
23.49,24.3
23.49,21.85
23.49,21.8
23.49,22.12
23.49,22.12
23.49,21.53
23.49,20.76
23.49,22.12
23.49,22.85
23.49,18.95
23.44,18.95
23.44,19.18
23.44,22.71
23.44,22.71
23.44,22.73
23.44,24.48
23.44,22.32
23.44,19.68
23.44,19.7
23.44,22.06
23.44,18.95
23.44,24.98
19.72,28.82
19.72,28.34
19.72,24.59
19.72,19.69
19.72,19.69
19.72,21.73
19.72,19.7
19.72,19.18
19.72,19.7
19.72,19.7
19.72,19.69
19.72,21.28
18.33,22.06
18.33,22.05
18.33,24.42
18.33,19.82
18.33,21.24
18.33,22.06
18.33,22.06
18.33,20.98
18.33,20.98
18.33,20.36
18.33,14.17
18.33,19.31
17.21,21.68
17.21,21.7
17.21,21.7
17.21,22.75
17.21,22.39
17.21,20.89
17.21,20.85
17.21,20.93
17.21,21
17.21,21.07
17.21,21.02
17.21,21.07
17.7,21.76
17.7,21.74
17.7,21.53
17.7,21.09
17.7,21.04
17.7,21.02
17.7,21.26
17.7,21.53
17.7,21.02
17.7,20.77
17.7,20.51
17.7,13.89
18.95,13.96
18.95,13.93
18.95,10.4
18.95,10.38
18.95,13.89
18.95,13.95
18.95,18.68
18.95,18.67
18.95,18.67
18.95,18.68
18.95,7.12
18.95,28.74
19.9,28.88
19.9,28.79
19.9,21.63
19.9,21.76
19.9,21.61
19.9,21.5
19.9,21.44
19.9,21.46
19.9,21.44
19.9,21.41
19.9,21.36
19.9,17.74
21.11,11.7
21.11,20.99
21.11,11.91
21.11,11.96
21.11,11.95
21.11,20.49
21.11,28.79
21.11,24.24
21.11,18.11
21.11,12.08
21.11,13.52
21.11,17.91
22.69,21.26
22.69,21.62
22.69,21.65
22.69,22.1
22.69,22.83
22.69,22.1
22.69,21.93
22.69,22.1
22.69,22.87
22.69,25.48
22.69,25.98
22.69,24.96
25.2,22.1
25.2,22.1
25.2,21.53
25.2,21.92
25.2,22.12
25.2,25.98
25.2,28.01
25.2,28.85
25.2,27.31
25.2,26.8
25.2,27.49
25.2,26.48
25.74,19.25
25.74,20.01
25.74,20.01
25.74,24.26
25.74,24.46
25.74,24.95
25.74,26.8
25.74,26.98
25.74,25.98
25.74,25.98
25.74,25.98
25.74,25.8
25.64,26.48
25.64,25.68
25.64,25.96
25.64,26.3
25.64,25.29
25.64,25.26
25.64,26.3
25.64,24.95
25.64,26.3
25.64,24.95
25.64,25.21
25.64,24.45
25.39,25.96
25.39,26.61
25.39,28.51
25.39,28.94
25.39,28.95
25.39,28.73
25.39,27.27
25.39,26.75
25.39,26.41
25.39,27.81
25.39,25.96
25.39,24.78
24.23,24.26
24.23,24.95
24.23,26.48
24.23,27.81
24.23,28.83
24.23,26.96
24.23,24.82
24.23,24.26
24.23,24.24
24.23,23.74
24.23,23.74
24.23,24.02
24.13,24.45
24.13,25.48
24.13,25.77
24.13,24.95
24.13,24.98
24.13,24.75
24.13,24.26
24.13,24.45
24.13,24.72
24.13,25.48
24.13,26.28
24.13,26.28
23.49,25.26
23.49,24.95
23.49,23.74
23.49,23.71
23.49,19.21
23.49,21.7
23.49,23.74
23.49,21.65
23.49,22.7
23.49,24.44
23.49,24.55
23.49,22.63
26,21.85
26,22
26,22.99
26,23.11
26,23.15
26,23.2
26,23.15
26,23.19
26,23.74
26,23.74
26,24.11
26,22.97
30.28,23.72
30.28,23.02
30.28,22.7
30.28,21.98
30.28,22.64
30.28,23.74
30.28,24.93
30.28,24.22
30.28,24.97
30.28,25.97
30.28,25.24
30.28,25.72
30.38,25.47
30.38,25.24
30.38,24.74
30.38,25.47
30.38,24.97
30.38,24.25
30.38,24.22
30.38,23.7
30.38,22.57
30.38,19.28
30.38,19.8
30.38,17.79
28.76,17.77
28.76,21.88
28.76,18.05
28.76,17.94
28.76,17.55
28.76,17.03
28.76,14.34
28.76,14.18
28.76,14.18
28.76,16.8
28.76,14.27
28.76,20.03
24.51,19.47
24.51,19.41
24.51,19.41
24.51,19.36
24.51,19.15
24.51,19.23
24.51,18.06
24.51,17.99
24.51,17.99
24.51,21.81
24.51,22.64
24.51,18.11
25.43,22.07
25.43,22.81
25.43,22.79
25.43,22.81
25.43,22.88
25.43,22.57
25.43,18
25.43,15.93
25.43,15.29
25.43,20.01
25.43,24.43
25.43,23.74
23.07,24.24
23.07,24.26
23.07,25.78
23.07,25.78
23.07,24.95
23.07,24.74
23.07,24.24
23.07,23.72
23.07,22.75
23.07,24.2
23.07,28.72
23.07,28.67
21.79,21.05
21.79,21.05
21.79,28.62
21.79,28.66
21.79,27.95
21.79,28.66
21.79,28.43
21.79,27.43
21.79,25.93
21.79,24.93
21.79,25.45
21.79,24.45
23.43,21.78
23.43,24.96
23.43,26.51
23.43,26.57
23.43,26.48
23.43,26.49
23.43,25.46
23.43,22.98
23.43,20.57
23.43,20.53
23.43,9.55
23.43,21.56
20.96,22.7
20.96,22.06
20.96,21.91
20.96,21.96
20.96,22.02
20.96,21.66
20.96,21.68
20.96,21.31
20.96,20.27
20.96,20.16
20.96,20.24
20.96,21.58
19.64,25.46
19.64,24.46
19.64,24.43
19.64,22.7
19.64,21.94
19.64,21.82
